
Mine/Prospect,Notes 
Mission Complex,"Location: Additional Location Information: Located north of the Mexican border, 10 miles from Sahuarita (35,638, 2022), 15 miles south of Tucson, Arizona; adjacent to the Twin Buttes mine and the Sierrita Mine. The mine is named for the nearby Mission San Xavier del Bac, an impressive and historic Franciscan mission dating back to the late 17th century.
Location: Mining District: Comprised of the Mission, Eisenhower, Pima, Mineral Hill and South San Xavier properties, as well as the neighboring North San Xavier mine.         
Project Description: Status of Project: In 2024 the developer commissioned an analysis of options for a new tailings disposal area.  
Commercial Plans: Processing Done by the Same Lead Developer/Parent Company: The Mission complex comprises open pit mining of the Mission, Eisenhower, Pima, Mineral Hill, North San Xavier and South San Xavier properties. The complex also includes two concentrator facilities, the Mission Mill (also known as the North Mill) and the South Mill. Underground mining stopped in 2003. The South mill was placed on ‘care and maintenance' in 2002 and re-opened in 2007. Control of dust emissions is a key operating priority with residential build up close to the mine-site.
Litigation: Evidence of Litigation: The developer and its unions have experienced a protracted labor dispute for several years. In 2024 the National Labor Relations Board was still prosecuting its 2022 case of unfair labor practices against Asarco in an ongoing trial before an administrative law judge in Phoenix. The unions also are pursuing more recent NLRB charges over Asarco’s allegedly unlawful withdrawal of union recognition at the Mission Mine in Sahuarita and the Silver Bell Mine near Marana. The NLRB has declined the unions’ request to hear those allegations as part of the larger pending case, but the agency has issued a complaint on those charges and plans to investigate and hear them separately. 
Concerned Interest Groups: Indigenous Groups: Currently, there is only one active copper mine on designated tribal lands in Arizona, the Mission Mine."
Montanore,"Project Name: Project also called Libby Exploration Project
Location: Additional Location Information: Located 23 miles south of Libby (pop 2,775, 2020), the county seat of Lincoln County, in northwestern Montana; Libby is at the confluence of Libby Creek and the Kootenai River.
Project Description: Existing Mine: Noranda Minerals initiated development of the Libby Exploration Project in 1989 but halted it in 2001, maintaining only reclamation work. In 2015, Hecla Mining acquired the project, along with the Montanore and Rock Creek mines in Montana. In 2022, Hecla decided to focus on obtaining new permits for the Montanore mine, putting the Rock Creek mine on the backburner.
Project Description: Status of Project: A new Plan of Operations for the Libby Exploration project limited to underground exploration and evaluation activities was submitted to the U.S. Forest Service and is currently under an Environmental Assessment review. The developer is making another effort (November 2024) to replace the old water permit with a new water permit.  If it is approved, the new permit would take the place of the active permit issued in 2006, which Montana DEQ proposes to terminate. DEQ previously issued a renewal permit in 2017, which was vacated by the Montana Supreme Court in 2020 following litigation. The new permit reassesses and updates how the developer will meet applicable water quality standards. 
Developer Description: Was There Change in Ownership during Project?: Hecla acquired the Libby Exploration (Montanore) Project in September 2016 with the acquisition of Mines Management Inc. 
Commercial Plans: Planned Production Capacity: A 2011 PEA stated the mine would produce 58,873,000 tons at 1.9oz/st silver and 0.7% copper.
Land Ownership: Type of Land: Cabinet Mountains Wilderness
Statements of Support from Public Officials: Local: In Libby, just 18 miles from Montanore’s development adit, signs declaring “We Support Montanore” are common in storefront windows.                                        
Statements of Support from Public Officials: State: Gov. Greg Gianforte has spoken favorably of the proposed mines in the past, and in 2020 he held a campaign event at Hecla’s offices in Libby. During that event, he criticized state and federal officials for how long it has taken to permit the two mines.
Litigation: Evidence of Litigation: Since Hecla’s acquisition, the project has faced numerous legal challenges. One lawsuit concerned the validity of the developer’s water discharge permit; the other suit alleged that the developer should not be allowed to proceed on the project because the CEO was covered by the state’s “bad actor” law due to the company’s bankruptcy and behaviors in the 1990s that caused unremediated contamination at the site.  A coalition of tribes and environmental groups initiated both lawsuits.  The second lawsuit became moot when the CEO stepped down in early 2024.
Litigation: Level of Court: Affirming the district court, the Montana Supreme Court in November 2020 invalidated the water permit that the state had awarded the developer many years earlier.  The developer was required to request a new water permit, if it wished to proceed. 
Concerned Interest Groups: Indigenous Groups: Confederated Salish and Kootenai Tribes, Fort Belknap Indian Community, Ksanka Elders Advisory Committee.
Concerned Interest Groups: Scale of Environmental Groups: National -- Earthjustice, Earthworks; Local/Regional -- Earthworks, Montana Environmental Information Center, Clark Fork Coalition, Rock Creek Alliance, Montana Conservation Voters, Save Our Cabinets, Cabinet Resources Group.
Concerned Interest Groups: Recreational Groups: Montana Trout Unlimited.
Reasons for Concern: Site of Historical, Cultural, Spiritual Significance: Coalition of Tribal groups and environmental groups view Montanore project as a threat to the sacred and pristine Cabinet Mountains Wilderness.
Reasons for Concern: Impact on Species: The Coalition against the mine is working to protect some of Montana’s most iconic species in the Cabinet Mountains, including grizzly bears, wolverines, and bull trout.  Grizzly bears and bull trout are both listed as threatened species under the federal Endangered Species Act. 
Reasons for Concern: Reputation of the Developer/Parent Company: In 2018, Hecla's CEO was labeled a “bad actor” under Montana law due to his past association with Pegasus, leading to prolonged litigation."
Moonlight-Superior Copper,"Location: Additional Location Information: Located 11 miles northeast of Greenville (pop 1,026, 2022, 75% of buildings destroyed in 2021 fire) in northeastern California near the Nevada line (100 miles northwest of Reno, Nevada).  
Project Description: Mining Method: open-pit. 
Project Description: Existing Mine: Historical production of 161 million pounds of copper at 2.2% grade from 1915 to 1930; Placer-Amex owned site from 1962-1994.
Project Description: Status of Project: Developer is now preparing to initiate an expansion drill program to include the higher-grade Superior and/or Engels deposits near the Moonlight deposit; initial version of PEA completed in 2018 under prior owner covered only Moonlight deposit. 
Project Description: Regulatory Challenges: Vesting Rights Issue -- Developer has requested vesting rights from the Plumas County Planning Department, which would allow developer to proceed with some permits and without an extensive California Environmental Quality Act analysis (request has led to community debates in associated public comment period).  Even if vesting is granted, a reclamation plan and adequate financial assurance for new mining must be approved by the County with input from the State.  The Plumas County Board of Supervisors adopted its first zoning ordinance on July 8, 1958, which has been identified as the date of vesting in the US Copper filing. Engels has been host to a range of different mining and forest activities over the years, before and after 1958.  In April 2024 the developer withdrew its request for vesting rights after County legal consultants concluded the case was not firmly established. The developer must strengthen the case or go through normal County permit procedures and California Environmental Quality Analysis.
Developer Description: Lead Developer: US Copper Corporation (Canada), since 2013 (previously several junior Canadian firms).
Commercial Plans: Planned Production Capacity: 150,000 tons of copper concentrate per year (Moonlight only).  
Commercial Plans: Planned Lifespan of Mine: 17 years (Moonlight only).
Developer Description: Was There Change in Ownership during Project?: Yes -- Placer-Amex was previous owner 
Commercial Plans: Processing Done by the Same Lead Developer/Parent Company: on-site facility.
Land Ownership: Type of Land: Private (owned by California-Engles Mining Company which has leased the land for mining for several decades).  Developer acquired 132 unpatented claims and a lease for the 36 patents covering the Superior and Engels mines.  Developer controls 13 square miles of land.  Might eventually require use of adjacent Forest Service land.  
Concerned Interest Groups: Community Residents/Groups: Filed comments against developer’s request for vesting rights; Citizen concerns expressed at public meetings -- increased traffic, tap on limited freshwater supplies, water contamination with toxics, disrupt beauty of rural community 
Concerned Interest Groups: Scale of Environmental Groups: Local -- Feather River Watershed Alliance "
Morenci,"Location: Additional Location Information: Located 50 miles north of Safford (pop 10,271, 2020) in southeast Arizona.  
Project Description: Existing Mine: Operational since the 1880s
Project Description: Status of Project: The Morenci mine is by far the #1 copper-producing mine in the U.S. According to one tally, it is the 7th largest copper-producing mine in the world; In June 2024 the CEO of Morenci stated her intention to aggressively increase production due to the heightened global demand for copper.  
Developer Description: Lead Developer: Freeport McMoRan (72%) has majority- Sumitomo (15%), SMM Morenci (13%).
Commercial Plans: Processing Done by the Same Lead Developer/Parent Company: Processing on site, with plans to increase from 90,000 tonnes to 130,000 tonnes by 2024-2036.
Financial Support: Federal Agency:In March 2024 Freeport-McMoRan was selected to receive $80 million through a cooperative agreement with the U.S. Department of Energy for a project to use geothermal energy to heat leaching stockpiles in Morenci and Safford and integrate battery energy storage and microgrid operations to improve electrical reliability in Morenci. By using geothermal energy, the project aims to generate clean, industrial-scale heat to enable the recovery over time of billions of pounds of residual copper through the company’s Leach to the Last Drop initiative from already mined material previously considered unrecoverable. The project could increase copper recovery by 25 million pounds or more annually, depending on the geothermal resources.
Concerned Interest Groups: Indigenous Groups: San Carlos Apache Tribe"
Mountain Pass,"Location: Additional Location Information: Located in the Mojave Desert in southeastern California. Accessed through the Bailey Road exit from the Interstate 15; 9 miles from Nevada line and 60 miles southwest of Las Vegas and 30 miles from Baker (pop 442, 2020), California. 
Project Description: Status of Project: The developer is implementing an expansion plan at Mountain Pass that led to a record level of output in early 2024. 
Developer Description: Lead Developer: The developer, which held unsuccessful merger talks this year with rival Lynas Rare Earths, has struggled in recent months (2024) with falling prices and stiff competition from Chinese rivals.
Developer Description: Was There Change in Ownership during Project?: Mine purchased in 2017 from Molycorp, who in turn purchased the mine in 2007 from Chevron Corp.
Commercial Plans: Planned Production Capacity: 15% of global demand, 38,500mt of rare earths in concentrate.
Commercial Plans: Processing Plan in US: On site. Cost savings, as become only combined mine-processing facility in North America. China dominates global processing. MP Materials is investing $700 million to develop rare-earth processing capabilities in the U.S., including separating NdPr oxide at Mountain Pass and establishing a facility in Fort Worth, Texas to produce alloys and magnets for EVs; aiming to produce finished magnets by 2025.
Financial Support: Federal Agency: $10 Million in 2020 to reopen after bankruptcy, later $35 million for processing facility on site. $58.5 million tax-credit allocation for construction of manufacturing facility. Section 48C Advanced Energy Project. The most recent award went to Lynas Corp for a new commercial-scale heavy rare-earth oxide production facility on the Gulf coast of Texas; Mountain Pass was seen as a possible supplier of some mined material.  
Financial Support: Public Supply Agreement w/ an Automaker or Battery/Component Producer: GM deal 2021, long term customer.
Statements of Support from Public Officials: Federal: Biden Administration expressed support for mine in connection with signing of Executive Order 14017.
Statements of Concern from Public Officials: Local: County filed suit over pollution concerns in 2002, difficult relationship with new developer but relationship has improved.
Reasons for Support: Historical Mining or Reclamation Issues: Mismanagement of tailings causing air and water pollution under previous owner (Chevron), who paid more than $1.4 million in fines and settlements in county lawsuit; mine then closed until 2004."
Nikolai,"Location: Additional Location Information: Located 30 miles from village of Paxson (pop 26, 2020), 50 miles south of the City of Delta Junction (pop 958, 2010) on the southern flank of Alaska Range, 125 miles southeast of Fairbanks, Southeast Fairbanks Census area, Alaska. 
Project Description: Status of Project: Exploration. The Nikolai Project is comprised of two blocks of claims – Eureka and Canwell – that each host compelling nickel targets.  The developer’s 2023 drilling program explored Eureka while the 2024 program explored Canwell, which is 13 miles northeast of Eureka.  Both programs uncovered massive deposits of nickel, copper, and cobalt.  
Developer Description: Lead Developer: Alaska Energy Metals Corporation (AEMC), USA (100% owner), company renamed early 2013, previously Millrock Resources Inc.
Developer Description: Was There Change in Ownership during Project?: Nico sold to Vale in the 1990s, which sold to junior miner Pure Nickel Inc (extensive drilling from 2007-2014), which sold data and rights to Millrock Resources, later renamed AEMC. 
Land Ownership: Type of Land: The Eureka claim block consists of 104 State of Alaska mining claims (6734 hectares) and is 100% owned by the developer.  The Canwell claim block consists of 42 State of Alaska mining claims (2720 hectares), with an option to purchase 100% interest in the claims from the underlying owner. In total, the project covers 94.54 km2 (9454 hectares)."
North Big Smoky,"Location: Additional Location Information: 9 miles north of the village of Carvers; 45 miles north of town of  Tonopah (pop 2,478, 2010); Big Smoky Valley, Nye County, Nevada, 143 miles east of Reno                                                                                                                                                                                                                                                                                      Project Description: Mining Method:  Lithium clays and brine exploration.                                                                                                                                                                                      
Project Description: Status of Project: 2023-2024 included electromagnetic sounding and soil sampling and drilling in the Carvers area; followed by electromagnetic sounding in the Austin area.                                                                                                                                                                                                                                                                                                           Developer Description: Lead Developer: Morella Corporation (Australia) has a 60% earn-in interest through cash, stock and exploration and development progress.                                               Land Ownership: Type of Land: 3,400 acres (1,375 hectares); Claims divided into Carvers and Austin areas.                           


"
NorthMet,"Location: Additional Location Information: Located in northeast Minnesota, about six miles south of Babbitt (pop 1,397, 2020) and one mile south of the existing Northshore iron-ore mine. Processing of mined ore would take place at the former LTV taconite plant near Hoyt Lakes (pop 2,020, 2020). Situated within the Partridge River intrusion along the northern margin of Duluth Complex, a geological formation near the Mesabi Iron Range.
Project Description: Status of Project: Minnesota Department of Natural Resources delayed permit decision until August 2025; Developer is working on new studies to enhance the sustainability of the project.
Project Description: Regulatory Challenges: The Army Corps of Engineers – with support from Biden EPA – revoked a critical federal water-quality permit due to concerns that waste from mine construction might endanger the water quality of a nearby tribal community.
Developer Description: Was There Change in Ownership during Project?: Project formerly called PolyMet. The ownership has been changed to a 50-50 joint venture of Polymet Mining (USA) and Teck Resources (Canada). The joint venture controls both the NewRange Copper Nickel deposit and Teck’s Mesaba deposit a few miles to the east.; In February 2023 the Swiss multinational Glencore became a 100% owner of the Polymet side of the joint venture.; Teck’s largest shareholder is the China Investment Corp., the sovereign wealth fund of the Beijing government, with a 10% stake.
Land Ownership: Public Land Ownership: USFS Superior National Forest Service
Litigation: Evidence of Litigation: After the developer obtained all necessary permits for the project,  a coalition of environmental and tribal groups initiated numerous lawsuits at different times and in different venues.  Those lawsuits challenged the validity of the land swap that allowed the developer to acquire crucial land for the project, the general permit to construct and operate the mine, the water quality permit, the air permit, and the dam safety permit related to waste management at the mine.  The plaintiffs had the most success with their challenges to the general permit to operate and construct the mine and their challenges to the water quality permit.  Both permits were ultimately overturned by the Minnesota Supreme Court.
Concerned Interest Groups: Indigenous Groups: Fond du Lac Band of Lake Superior Chippewa
Concerned Interest Groups: Scale of Environmental Groups: Local/Regional -- WaterLegacy, Conservation Minnesota, Friends of the Boundary Waters Wilderness and the Minnesota Center for Environmental Advocacy
Supportive Interest Groups: Commercial Groups: MiningMinesota"
Palmer Copper-Zinc,
Panamint Playa,"Location: Additional Location Information: Located immediately west of Death Valley National Park in California near the Nevada border; nearest towns are Pahrump (pop 44,738, 2020), Nevada, Searles Valley (pop 1,565, 2020), California, and Darwin (pop 26, 2020), California.
Project Description: Status of Project: Since at least 2019 indigenous groups and environmentalists have clashed with the developer over requests that BLM allow exploratory drilling at Panamint Valley.  In February 2024 the developer again submitted to BLM a plan of operations, a necessary step toward approval of an exploratory drilling program; despite some opposition, BLM approved the proposal in August 2024.  
Developer Description: Parent Company: Founded in 2010; current project portfolio includes copper, gold, and lithium assets in the US, Kazakhstan, and Mongolia 
Concerned Interest Groups: Indigenous Groups: Friends of the  Inyo
Concerned Interest Groups: Scale of Environmental Groups: National -- Sierra Club, Defenders of Wildlife, Center for Biological Diversity; Local/Regional -- Basin and Range Watch, Great Basin Water Network
Reasons for Concern: Impacts to Natural Environment: Neighbors Death Valley National Park 
Reasons for Concern: Water Quality: Environmental groups allege that the environmental assessment does not include mapping of floodplain boundaries, nor any hydrologic modeling or analysis.  They also contend there could be cross contamination from the deep brines to the freshwater aquifer.  Further, they argue the drill site reclamation practices are inadequate to protect water.  
Reasons for Concern: Impact on Species: Sanctuary for desert bighorn sheep; sanctuary for the Inyo California Towhee (threatened species); desert tortoise; Panamint alligator lizard.
Reasons for Concern: Recreation: Neighbors Death Valley National Park "
Panther,"Location: Additional Location Information:  Located 19 miles west of the town of Salmon (pop 3,295, 2023), central Idaho; 2 miles east of Jervois’ Idaho Cobalt Operation.
Location: Mining District: Blackbird District (2 miles to the northeast of the historic Blackbird Cobalt Mine).
Project Description: Existing Mine: Has undergone small-scale past production at the historic Sweet Repose Mine.
Project Description: Status of Project: Koba is planning additional geochemical sampling, mapping and geophysical surveying to help delineate targets for drilling.; The project was actively explored between 2017 and 2018, when ePower Metals Inc (now Prime Mining Corp) collected a total of 1,534 soils samples, 53 surface rock samples and 29 underground samples; Koba Resources reports in its FY 2024 Annual Report that no significant work was done at its cobalt projects in FY 2024.
Developer Description: Lead Developer: Koba Resources Limited acquired the site in November of 2021. 
Developer Description: Was There Change in Ownership during Project?: Koba Resources was created when New World Resources (ASX: NWC) decided to spin-out its cobalt-copper assets.
Land Ownership: Type of Land: 870 hectare of public land; part of Salmon National Forest (USFS).  "
Paradox Lithium,"Location: Additional Location Information: Located in Paradox Basin (asymmetric foreland basin located mostly in southeast Utah and southwest Colorado), near Green River (pop 847, 2020) in southern Utah.
Project Description: Status of Project: In 2024 the developer’s request that the State of Utah approve its plan for exploration ran into concerns from an unusually diverse array of players: a coalition of environmental groups, local nonprofits, some local government agencies, and three federal agencies: the Bureau of Land Management, the National Park Service, and the Bureau of Reclamation.  The state approved the developer’s plan.  
Project Description: Regulatory Challenges: Federal agencies have raised concerns about the developer's plans to access groundwater near the Green River, which connects to the Colorado River.  Utah regulators will make the final decisions about water permits. Update: in June of 2024, Utah state officials suspended a key water permit for the Paradox Lithium project following concerns from conservation advocates about potential contamination and water overuse in the Green River. September 2024: the state doubled down on its original decision to approve, while requiring that the developer demonstrate that the process is truly non-consumptive; developer will be subject to fines if water is consumed. 
Developer Description: Lead Developer: In June 2024 the developer announced collaboration with Koch Technology Solutions (KTS), a Koch Engineered Solutions (KES) company, for the commissioning of its Li-Pro™ process pilot unit for lithium extraction at the developer's Green River Lithium Project. The pilot will be jointly funded by the developer and an investment from KTS through a convertible note as the companies work to develop a further commercial relationship.
Commercial Plans: Processing Done by the Same Lead Developer/Parent Company: Potentially developing a processing plan onsite, now in engineering stages.
Financial Support: Public Supply Agreement w/ an Automaker or Battery/Component Producer: In 2024 the developer completed negotiations with LG Energy Solution and executed its first binding offtake term sheet to supply battery-grade lithium carbonate. The agreement calls for the developer to supply up to 4,000 dry metric tonnes per year of battery-grade lithium carbonate. The associated volumes represent approximately 40 percent of the Project’s start-up production capacity of 10,000 tonnes per year.
Statements of Support from Public Officials: State: Sen. Nate Blouin, D-Salt Lake City and Sen. Scott Sandall, R-Tremonton
Statements of Concern from Public Officials: Local: Town of Green River residents concerned about water usage
Statements of Concern from Public Officials: Federal: Bureau of Land Management raised concerns about the developer's plans to pump 13,755 acre-feet per year of groundwater near the Green River. Department officials said the aquifer and the river were connected and the developer had not sufficiently explained how the groundwater withdrawals might affect the Green River. National Park Service also filed a letter of concern.
Litigation: Evidence of Litigation: In October 2024, a coalition of conservationists, businesses, and residents sued the Utah Division of Water Rights in the State’s 7th District Court in Moab to overturn the Division’s decision to approve water rights for lithium extraction.  The leader of the lawsuit is Great Basin Water Network.  The litigation was not resolved as of December 2024.
Concerned Interest Groups: Scale of Environmental Groups: Local/Regional -- Southern Utah Wilderness Alliance, Living Rivers, Southern Utah Wilderness Alliance, Utah Rivers Council and the Great Basin Water Network.
Concerned Interest Groups: Recreational Groups: Holiday River Expeditions.
Reasons for Concern: Water Supply: Water rights are sensitive in Utah; also concern of possible pollution of Green River.
Reason for Concern: Other: DLE technology is untested.
Reasons for Support: Employment: The developer plans to employ 80-320 people in rural Utah."
Pea Ridge ,"Location: Additional Location Information: Located near Miramiguoa Park (pop 120, 2020) in southeast Missouri.
Project Description: Existing Mine: Mining rare earths is a new development.
Project Description: Status of Project: The Pea Ridge mine would be among the first in the US to produce relatively large amounts of dysprosium, a critical element in electric motors.  The developer will use membrane solvent extraction technology to separate rare earths in mined ore through a licensing arrangement with the federal government’s Oak Ridge National Laboratory, a unit of the Department of Energy.  
Project Description: Regulatory Challenges:The regulatory requirements for management of radioactive thorium at the site could affect the commercial viability of the site and have slowed development. 
Commercial Plans: Processing Done by the Same Lead Developer/Parent Company: Caldera Holding has licensed ORNL's membrane solvent extraction technique to separate rare earth elements in mined ore. 
Reasons for Concern: Historical Mining or Reclamation Issues: Clean Water Act violations on site of previous mine, management of thorium, a radioactive element used to make nuclear fuel."
Pebble,"Location: County: Lake and Peninsula Borough.
Location: Additional Location Information: 200 miles southwest of Anchorage, near headwaters of the Bristol Bay, 17 miles northwest of the village of Iliamna (pop 108, 2020), Lake and Peninsula Borough, southwest Alaska
Project Description: Existing Mine: Deposits discovered in 1987 by Cominco Alaska (Teck Resources Ltd.), optioned by Northern Dynasty Minerals in 2001, explored in 2002, and drilled from 2002-2013 with discovery of Pebble East in 2005. Preparation for the permitting process began and administrative review lasted over 13 years.  
Project Description: Status of Project: Advanced exploration, but delayed indefinitely
Project Description: Regulatory Challenges: The developer has received multiple permits from the State for exploratory activities that have extended over a decade. In July 2020, the U.S. Army Corps of Engineers published a final environmental impact statement (EIS) recommending development of the Pebble project. However, the federal government reversed its position at the urging of advisors to President Trump.  Later in 2020 the Trump Army Corps of Engineers rejected a permit application regarding disposal of dredge material that was critical for project development. On January 31, 2023, the EPA under Biden (who had made a campaign pledge to stop the mine) effectively vetoed the project, using a rarely invoked power under Section 404 (c) of the Clean Water Act to restrict development to protect watersheds. The EPA action, which bans the disposal of mine waste in part of the Bay’s watershed, safeguards a much larger area than what the developer had proposed to mine. This is the 14th time in the history of the Clean Water Act and just the third time in the past 30 years that EPA has used this veto authority.The developer appealed the Army Corp decision, arguing that the decision was inconsistent with the EIA (which the Corps had led with multiple federal, state and local agencies) but the Corps refused to act on the appeal, citing EPA’s decision to put the land off limits to mining. Separately, the Conservation Fund, an environmental preservation organization, purchased conservation easements for 44,000 acres of land owned by a Native village corporation near Iliamna Lake, about 20 miles south of the proposed mine site and the area covered by the E.P.A. ruling. The easements effectively block development and would make construction of an access road more difficult.  
Commercial Plans: Planned Production Capacity: 320 million lb copper; 368,000 oz gold; 15 million lb molybdenum; 1.8 million oz silver and 10,000 kg rhenium. 
Commercial Plans: Planned Lifespan of Mine: Mine's lifespan could be extended up to 100 years with mine expansions.
Commercial Plans: Processing Done by the Same Lead Developer/Parent Company: The open pit mine will feed a 180,000 copper flotation concentrator capable of processing 1.3 billion tons of mineralized material over 20 years of mining.  The PEA includes some expansion scenarios with a larger processing operation. 
Land Ownership: Type of Land: The developer holds mineral rights for 186 square miles (480 km2) of the area, an area that includes the Pebble deposits, as well as other, less explored, mineral deposits. 
Statements of Support from Public Officials: State: Gov. Mike Dunleavy said in a written statement that the EPA’s decision threatens the state’s legal right to develop its mineral resources, at a deposit that could be worth up to $1 trillion
Statements of Concern from Public Officials: Federal: Alaska's U.S. Senators Dan Sullivan and Lisa Murkowski, both Republicans, came out against the mine, saying it could cause significant damage to the Bristol Bay region, which is popular for fishing and hunting; Senator Maria Cantwell, Democrat of Washington, one of the first lawmakers to oppose the project, said she was “ecstatic” about the E.P.A. action. Washington State residents hold about a quarter of the commercial permits to fish for Bristol Bay sockeye, and much of the harvest passes through the state’s ports.
Litigation: Evidence of Litigation: Developer and State of Alaska sued the Army Corps of Engineers in the US District Court for the District of Alaska.seeking to override the permit denial. A separate lawsuit against EPA was filed by Iliamna Natives Limited and the Alaska Peninsula Corporation, alleging the EPA overstepped its authority with its final decision to block the Pebble Mine project; The State of Alaska has also sued the federal government seeking more than $700 billion in compensation in the US Court of Federal Claims in the District of Columbia. This is based on a 100-year estimate of what the mine would have done for economic development in Alaska; The developer has sued separately in the Federal Claims Court, citing that it has expended more than $1 billion acquiring the land and developing the site; the US Supreme Court in January 2024 declined to take up Alaska v United States, an emergency request from the State of Alaska to review the Biden EPA veto of the proposed Pebble copper and gold mine in the Bristol Bay watershed.  The Court’s decision forces Alaska to go through the lower federal courts with its concerns; the case could eventually make it to the Supreme Court for a merits ruling. 
Concerned Interest Groups: Indigenous Groups: Bristol Bay Native Corp., the region’s Alaska Native corporation and a mine opponent; United Tribes of Bristol Bay.
Concerned Interest Groups: Scale of Environmental Groups: National -- Echoing the concerns of environmental groups, EPA said that the mine’s harm to salmon habitat would be “unacceptable.” It said it would damage or destroy 100 miles of streams that support spawning and breeding and approximately 2,100 acres of surrounding wetlands
Concerned Interest Groups: Recreational Groups: Save Bristol Bay, organized by Trout Unlimited.
Concerned Interest Groups: Evidence of Organized Protest: Opponents protested in Anchorage, Alaska in 2019. 
Reasons for Concern: Site of Historical, Cultural, Spiritual Significance: Concern there could be harm to two dozen Native villages in the region.
Reasons for Concern: Impact on Species: Concern there could be harm to the world’s largest commercial sockeye salmon fishery.
Supportive Interest Groups: Commercial Groups: The lawsuit against EPA is filed by the Pacific Legal Foundation, a conservative public interest law practice that has fought for private property rights since it began in 1973.  Seeking to restrain EPA overreach and filing supportive briefs, too, were the Alaska Industrial Development and Export Authority and numerous Alaska and national resource-development groups.
Reasons for Support: Economic Growth: Supported by some Alaskan lawmakers and Native groups for the economic benefits it would bring."
Pickett Mountain,"Location: Additional Location Information: Located 10 miles north of Patten (pop 771, 2020), east of Baxter State Park, northern Maine.
Project Description: Status of Project: The developer tried twice to persuade the Maine Land Use Planning Commission to modify zoning law to allow the project.  After the second try, the Commission voted, in 2023, 5 to 2 against a zoning change.
Project Description: Regulatory Challenges: Maine recently passed legislation that made securing the necessary permits for mining operations more intensive. The developer also faced zoning challenges that ultimately led to the proposed mine being delayed indefinitely; In 2023 the planning commission voted 5-2 against the rezoning petition from the developer. 
Developer Description: Was There Change in Ownership during Project?: Land previously owned by Getty Oil & Chevron who let the mineral leases for the property expire in 1998; acquired by current owner in 2017
Land Ownership: Type of Land: Leased land.  6781 acres was acquired by Wolfden Resources in 2017 for $8.5 million.
Statements of Support from Public Officials: Local: Town of Patten supports the project for increased development and population.
Statements of Support from Public Officials: State: State Sen. Trey Stewart supports for economic development
Concerned Interest Groups: Scale of Environmental Groups: Local/Regional -- Natural Resources Council of Maine; National -- National Parks Conservation Association, Earthjustice, Conservation Law Foundation
Reasons for Concern: Impacts to Natural Environment: Might adversel impact nearby national park.
Reasons for Concern: Site of Historical, Cultural, Spiritual Significance: Project might disrupt sacred sites near Mattawamkeag River, which is sacred to the Penobscot Nation. 
Reasons for Concern: Water Quality: Fears of toxic byproducts and acid mine drainage. 
Reasons for Concern: Classification of Species Impacted: Endangered atlantic salmon.
Reasons for Concern: Reputation of the Developer/Parent Company: The developer may lack the capabilities and financial resources to mine competently.
Reasons for Concern: Other: Impact on Tourism"
Pinto Valley,"Location: Additional Location Information: Located 8 miles west of the town of Miami (pop 1,532, 2023) in central Arizona; 80 miles east of Phoenix via Highway 60. 
Project Description: Status of Project: Active, In November 2021 the developer received final approvals from the US Forest Service for a new mine plan of operations, approved by the Tonto National Forest, extending Pinto Valley’s life to the year 2039.
Project Description: Regulatory Challenges: The 2021 decision of the USFS to expand the mine is the subject of a lawsuit by Earthjustice and other environmental groups against the USFS.
Developer Description: Was There Change in Ownership during Project?: Capstone acquired mine from BHP in October 2013. Capstone operates mine through affiliate Pinto Valley Mining.
Litigation: Evidence of Litigation: In September 2024, conservation groups sued the U.S. Forest Service and U.S. Fish and Wildlife Service for violating the National Environmental Policy Act, Endangered Species Act, and other laws in approving expanded operations at the Pinto Valley Mine, east of Phoenix. The litigation was not resolved as of December 2024.                                                                                       
Reasons for Concern: Impacts to Natural Environment: Pinto Valley’s operations overlap with parts of the Tonto National Forest. Pinto Valley’s plan to upgrade its TSF requires extension onto some land within the Tonto National Forest. 
Concerned Interest Groups: Environmental Groups EarthJustice, Audubon Society, Western Action Mining Project, Sierra Club.
Reason for Concern: Water Quality: Releases of Toxic Substances.  According to EPA data, the Pinto Valley Mine is the 4th largest source of toxic releases into the environment in the State of Arizona.    
Reason for Concern: Impact on Species: Consumption of scarce water supplies and possible damage to the habitat of threatened and endangered species, specifically the western yellow-billed cuckoo & southwestern willow flycatcher. In spite of this, the Forest Service and Fish and Wildlife Service did not require the developer to implement adequate mitigation measures that would protect water flows.
Reason for Concern: Classification of Species Impacted: Southwestern willow flycatcher (endangered); Western yellow-billed cuckoo (threatened)."
Pope-Shenon,"Location: Additional Location Information: Located at the north end of the Lemhi Range, is near Baker (pop 68, 2020), central Idaho at the border with Montana; near entrance to Great Basin National Park; recent exploration work was 7 miles southeast of Salmon (3,295, 2023), Idaho.
Project Description: Existing Mine: Produced about 5 million pounds of copper (underground) from 1909 to 1975, inactive since.
Project Description: Status of Project: The developer did not announce activity in 2024.
Land Ownership: Type of Land: Claims within Salmon National Forest"
