Mine/Prospect,Project Name,Mining Method,Co-Producing Materials,Existing Mine,Status of Project,Regulatory Challenges ,County,Nearest Population Center,Population Size,Additional Location Information,Mining District,Mineral Occurrence,Lead Developer,Location of Lead Developer HQ,Lead Developer Website,Parent Company,Location of Parent Company HQ,Was There Change in Ownership during Project?,Planned Production Capacity (Thousands of Tons/Year),"Planned Lifespan of Mine 
(Years)",Processing Plan in US,Processing Done by the Same Lead Developer/Parent Company,"Total Capital Costs
 (Millions of Dollars)",Number of Federal Awards,Financial Support by Federal Agency,Year Granted,Grant/Loan,"Amount 
(Millions of Dollars)",Purpose of Support,Public Supply Agreement w/ an Automaker or Battery/Component Producer,Type of Land,Public Land Ownership,Year of Land Acquisition,Evidence of Litigation,Number of Cases,State and/or Federal,Court Rulings Issued,Level of Court,Link to Judicial Decision
Let's Go Lithium,,,,,In March 2024 the developer launched environmental baseline surveys as it grapples with some tenacious opposition to its request for an exploratory drilling permit. ,"A permit for exploratory drilling was granted but then revoked due to environmental (water-related) concerns raised jointly by county officials and an environmental group.  A more limited exploration plan was then submitted by the developer, and is under review by BLM. Meanwhile, County officials are trying to persuade the Department of Interior and the Congress to withdraw nearby lands from development activity due to environmental concerns. ",,,,"Located near Pahrump (pop 44,738, 2022) on the border of Nevada and California near the Mojave Desert; on the edge of Ash Meadow National Wildlife Refuge in southern Nevada, about 70 miles northwest of Las Vegas.  ",,,,,,,,,,,,,,,,,,,,,"Developer acquired an additional 2,400 acres that allowed abandonment of certain existing mining claims that border the ACEC boundary of Ash Meadows. This moves the core of the LGL project further away from Ash Meadows and sends a clear message that the developer is committed to developing the project in a manner that is sustainable for the surrounding area.",,,The Center for Biological Diversity and the Amargosa Conservancy sued BLM for failing to consult with other federal agencies such as the US Fish and Wildlife Service concerning species protection under the Endangered Species Act. The lawsuit was not resolved because BLM withdrew its initial approval of the drilling plan. ,,,,,
Libby,Project also called Montanore,,,"Noranda Minerals initiated development of the Libby Exploration Project in 1989 but halted it in 2001, maintaining only reclamation work. In 2015, Hecla Mining acquired the project, along with the Montanore and Rock Creek mines in Montana. In 2022, Hecla decided to focus on obtaining new permits for the Montanore mine, putting the Rock Creek mine on the backburner.","A new Plan of Operations for the Libby Exploration project limited to underground exploration and evaluation activities was submitted to the U.S. Forest Service and is currently under an Environmental Assessment review. The developer is making another effort (November 2024) to replace the old water permit with a new water permit.  If it is approved, the new permit would take the place of the active permit issued in 2006, which Montana DEQ proposes to terminate. DEQ previously issued a renewal permit in 2017, which was vacated by the Montana Supreme Court in 2020 following litigation. The new permit reassesses and updates how the developer will meet applicable water quality standards.; In 2025, this project was added by the Trump administration to the FAST-41 dashboard to accelerate its permitting. ",,,,,"Located 23 miles south of Libby (pop 2,775, 2020), the county seat of Lincoln County, in northwestern Montana; Libby is at the confluence of Libby Creek and the Kootenai River.",,,,,,,,Hecla acquired the Libby Exploration (Montanore) Project in September 2016 with the acquisition of Mines Management Inc. ,"A 2011 PEA stated the mine would produce 58,873,000 tons at 1.9oz/st silver and 0.7% copper.",,,,,,,,,,,,Cabinet Mountains Wilderness,,,"Since Hecla’s acquisition, the project has faced numerous legal challenges. One lawsuit concerned the validity of the developer’s water discharge permit; the other suit alleged that the developer should not be allowed to proceed on the project because the CEO was covered by the state’s “bad actor” law due to the company’s bankruptcy and behaviors in the 1990s that caused unremediated contamination at the site.  A coalition of tribes and environmental groups initiated both lawsuits.  The second lawsuit became moot when the CEO stepped down in early 2024.",,,,"Affirming the district court, the Montana Supreme Court in November 2020 invalidated the water permit that the state had awarded the developer many years earlier.  The developer was required to request a new water permit, if it wished to proceed.",
Lilac ,,,,,"Lilac Solutions released a technical white paper in June 2024 showing that its new DLE technology has 50% lower capital costs than previously estimated and longer durability (4,000 cycles).  The company also predicted that its pilot plant at Great Salt Lake will be running in October 2024. The company's plan is to scale up commercial operations to extract 3,000 tons of lithium from the lake annually by 2026. ",The State of Utah placed a moratorium on water withdrawals from the Great Salt Lake. ,,,,"The facility is planned for somewhere on the Promontory Point peninsula, near Brigham City (19,650, 2020), Utah, on the Great Salt Lake’s saltier northern arm.",,,,,,,,,,,,,,,$50 M from DOE for a commercial-scale DLE demonstration plant.,,,,,"Binding five year agreement with Ford for 40% of total production volume. In 2024 Lilac reported $145 million in new private financing, which will go toward scaling operations. ",,,,,,,,,
Lisbon Valley,,"Expansion plan involves in-situ mining. The developer plans to start using an extraction method that involves injecting acids into the ground to dissolve copper deposits before pumping the solution back up to the surface for recovery, causing less surface disturbance than open-pit mining. In situ leaching is performed by injecting an acidic solution into the ground to dissolve minerals deposits before pumping the resulting solution to the surface for mineral recovery. The method causes far less surface disturbance than heap leach open-pit mining, the technique the Lisbon Valley Mining Company has employed in the upper valley since 2008. It is a “very innovative” mining technique for copper, said Lisbon Valley Mining Company Environmental Manager Alysen Tarrant.",,"Copper was mined on a small scale in Lisbon Valley until the 1960’s when modern exploration techniques were used to begin defining what is now the Centennial Pit which is being actively mined by the developer today. Lisbon Valley Mining Company LLC, originally a subsidiary of Constellation Copper Company, obtained the final mining permits in 2004, and mine construction began in early 2005. However, the area has long history of uranium mining, contamination with radioactive mill tailings, community concerns about cancer, and extensive cleanup efforts.  Monticello community sensitized to health risks of mining. The Rio Algom Uranium Mill was in use from 1972 until 1988, leaving the groundwater supply contaminated with arsenic, uranium and other elements. In 2020, the copper mine was shut down temporarily due to the developer’s financial problems (low copper prices) and the pandemic.  ","The Lisbon Valley Mining Company, which owns the mine, has been planning an expansion since 2023.  The BLM is conducting an environmental review for the expansion and will decide whether to approve the project. The agency expects to finish a draft review in August 2025 and make a final decision about the project in May 2026. The Company has proposed to expand by employing in situ leaching which is conducted using a well field in place of open pit mining and heap leach operations and thereby results in a lower surface disturbance. The Trump administration is streamlining the expansion. The newly created National Energy Dominance Council chose in 2025 to “streamline” plans to expand the Lisbon Valley Copper Mine in southeastern Utah by adding the project to the FAST-41 program. Expansion would include a new open pit, waste rock storage area, process ponds, and in-situ recovery wells in a proposed 5,430 additional acres. Estimated surface disturbance contained in the Plan of Operations Modification is 1,190 acres. Proposal before BLM; decision expected May 2026.","The in-situ mining method requires the company to obtain an aquifer exemption permit through the Utah Division of Water Quality and the U.S. Environmental Protection Agency (EPA). Part of the criteria the EPA typically uses to grant an aquifer exemption is that the aquifer not serve as a source of drinking water, and documents filed with the DEQ state that the nearest public water drinking well is 14 miles from the project site. (The Wilson Ranch is closer and does access the aquifer for drinking water, leading to concerns).  The expansion project also requires BLM approval.",,,,"South of La Sal (339, 2020), north of Monticello (1,824, 2020), 40 miles southeast of Moab (5,366, 2020), San Juan County, southeastern Utah. ",,,,,,,,"The Lisbon Valley project was permitted in 1999 and Constellation Copper Corp, a Canadian company formerly publicly traded on the Toronto Stock Exchange, took ownership and capitalized the project between 1999 and 2004. Construction began in 2005.  The mine produced its first copper cathode in 2006, but Constellation went belly up in 2008. Lisbon Valley Mining Company was formed during 2009 when it took control of the project.",,,,,,,"In 2024 Greater Commercial Lending (GCL) provided a $25m US Department of Agriculture (USDA)-guaranteed loan to Lisbon Valley Mining to bolster copper production and aid renewable energy systems. The loan has been facilitated through the USDA’s Business & Industry Loan Programme. This financing will be channeled into working capital, procurement of heavy equipment, and refinancing of existing debt. ",,,,,,"4,480 acres consumed by current mine. The mine spans private, state and Bureau of Land Management land.",,,,,,,,
Lithium King,,Extraction from brines. ,,Three abandoned oil drilling operations. ,Developer has made additional claims to avoid floodplain areas.  Plans for exploratory drilling underway in 2024. ,,,,,"Located near Wendover (pop 1,115, 2020), western Utah;  105 miles west of Salt Lake City along Highway 80. Property is located south of the Pilot Valley, at the western margin of the Bonneville Salt Flats.",,,Global Battery Minerals (Canada) acquired the property in 2021 ,,,,,,,,,,,,,,,,,,"Public (BLM).  7,900 acres of placer claims.",,,,,,,,
Madison,,,,Abandoned: mine was originally discovered in 1847 and has since undergone various periods of operation and closure.  Production started 1944.  Peak production 1983. Surface and underground operations. Now an EPA Superfund site.,"The developer is establishing partnership agreements as it presses its case for financial support from the federal government. Glencore added a processing partnership with US Strategic Metals and a Chilean company in 2024, along with the 2022 partnership with United States Strategic Metals LLC.",,,,,"Located near village of Cobalt (262, 2023) and Fredericktown (pop 4,429, 2020), Missouri, 90 miles south of St. Louis.",,,,,,,, Missouri Cobalt purchased land in 2018.,,,,Constructing nickel/cobalt processing facility that will produce battery-grade material.,,,"$100.8 Million loan, now in expedited approval process, from the U.S. Citizenship and Immigration Services in recognition of the potential job creation by the company’s critical minerals project. ",,,,,,,,,2024 lawsuit against Missouri Cobalt by DOJ/EPA alleges pollution of nearby bodies with copper and lead without permit.,,,,,
Madison-Copper Gold                   ,"
",,,,"The 2024 drill program confirmed promising deposits beyond the areas that have previously been mined. The next phase of drilling (Phase II) will further test this interpretation and expand the high-grade copper and gold to the west and east.  Additional drilling will be planned to extend the historically mined orebody below 130 meters. Project is permitted for mining, and surface and underground exploration.",,,,,"Southeast margin of the Highland Mountains, 1 mile west of Silver Star (pop 46, 2020) and 16 miles south of Whitehall (pop 1,006, 2020), Madison County, southwest Montana.",,,,,,,,"American Pacific acquired the Project from Broadway Gold in 2020. Broadway Gold is now considered as a subsidiary company of American Pacific. From 2019 to 2024, the Project operated under a joint venture (JV), earn-in agreement with Kennecott Exploration Company, part of the Rio Tinto Group, whereby Rio Tinto may spend $30 million USD to earn up to 70% of the Project. In 2024 American Pacific Mining regained 100% ownership and control of the Madison copper-gold project in the US from Kennecott Exploration, a subsidiary of the Rio Tinto Group. This development follows the decision by Kennecott Exploration to terminate the 11-year Madison earn-in agreement it signed with American Pacific, which aimed to secure up to a 70% interest in the project.",,,,,,,,,,,,,"The Property totals 2,514 acres and includes a 192 acre deeded land parcel. The Property consists of 6 patented lode claims, 136 unpatented lode claims, and one federal unpatented placer claim. ",,,,,,,,
Mason Copper,,Traditional open pit shovel/truck operation.,,The Mason Valley property hosted several historical underground copper mines that were in production in the early 1900s. Historical drilling and production records from the past producing mines indicate the mineralization is high grade and starts at or near surface.   ,"The developer views the Mason project as a long-term development asset and a high-quality copper growth opportunity. . Since acquiring Mason, the developer has consolidated mining claims contiguous to the project and advanced technical studies, including a revised resource model and a PEA.  In September 2023 a drill program was launched to test satellite deposits which confirmed the occurrence of high-grade skarn mineralization near the historical mines; they are potentially amenable to open pit mining but of limited spatial extent. In 2024 the developer was compiling and analyzing the results from the 2023 drilling and conducting additional metallurgical studies to refine Project economics.  No definite timetable has been disclosed for opening the mine.",,,,,"Located 5 miles west of Yerington (pop 3,194, 2023), in central-western Nevada near the California line; approximately 47 miles southeast of Reno.",,,,,,,,"The developer purchased Mason Resources including the Mason Project in December 2018.  The developer consolidated a prospective package of patented and unpatented mining claims contiguous to the Mason project in two private transactions in 2019 and 2020, including a property called Mason Valley. Much of the Mason Valley property is located on Hudbay’s wholly owned private lands and contains highly prospective skarn mineralization. ","140,000 tons per year for the first 10 years declining thereafter",,A new nearby copper sulphide mineral processing plant capable of producing commercial grade copper and molybdenum concentrate. ,,,,,,,,,,"Private, more land added in 2019 and 2020. ",,,,,,,,
McDermitt,,Open pit method processing ore using sulphation roasting to produce battery-grade lithium carbonate.,,,"The developer is completing technical and financial studies to support a new resource estimate and update metallurgical understanding; A pre-feasibility study was in progress in 2024; In April 2025, BLM approved exploration at the McDermitt project despite community concerns.; In 2025, this project was added by the Trump administration to the FAST-41 dashboard to accelerate its permitting. ",,,,," Located 35 km (x 0.62 for miles) west of the town of McDermitt (pop 124, 2020), Nevada, at the northern tip of Nevada on the Oregon border.",,,,,,,,The developer acquired the Project in 2018. By 2023 a total of 62 drill holes had supported increasing Mineral Resource Estimates.,,,,Developer envisions an open pit mining operation that processes ore onsite using sulphation roasting to produce battery-grade lithium carbonate. The developer is partnering with POSCO Holdings on tests of processing methods.,,,,,,,,,"Project encompasses 7,200 acres (BLM) and would require the construction of 30.2 miles of new access routes.",,,,,,,,
McGee, ,,,,"Spearmint is currently permitted by the BLM for 4 additional drill holes on the McGee Lithium Clay Project, building on its 2022 drilling on the property.  The 2022 drilling assessed the lithium resource potential west of the lithium mineral resource, building on the 2021 drilling program, which discovered a continuous, well mineralized section from near surface to a maximum depth of approximately 900 ft (274 m) below surface.",,,,,"Location: 34 miles west of the town of Tonopah (2,009, 2021), Esmeralda County, Nevada; southeast of Albemarle’s Silver Peak Mine.",,,,,,,,,,,,,,,,,,,,,The Project consists of 26 contiguous unpatented placer claims that span from McGee 30 to McGee 55 and cover 890 acres.  ,,,,,,,,
Mesaba,,,,"Site is a former iron mine, and adjacent to iron mines that are still operating.","In August 2024 the developer announced four new studies to enhance the sustainability of the project.  The study topics include tailings storage, water science, efficient production, and carbon reduction. The developer continues to invest in studies for the Mesaba project’s environmental and social baseline studies and complete expanded hydrologic and hydrogeological studies.  Ongoing work also addresses orebody knowledge and project development engineering options.",,,,,"Located in the Duluth Complex (rock formation), near the towns of Babbitt (pop 1,383, 2020) and Hoyt Lakes (pop 2,020, 2020), northeastern Minnesota; about one mile from site for PolyMet project. ",,,"New Range Copper Nickel LLC is a 50/50 joint venture established by Teck Resources and Glencore to develop the NorthMet and Mesaba deposits – two large, distinct, and well-defined copper-nickel PGM resources in the Iron Range mining region of Minnesota. The NorthMet project is further along in the development process than the Mesaba project.",,,,,,,,,,,,,,,,,,,,,Environmental groups have not been successful in combining Mesaba in the same lawsuits involving NorthMet.,,,,,
Miami Copper Operations,,"The Project includes an open-pit copper mine, a smelter and a rod mill. Miami is no longer mining ore, but currently produces copper through leaching material already placed on stockpiles, which is expected to continue through at least 2025.   ",,,"The developer, in a 2024 technical conference paper, reported on sustainability improvements at its Miami smelter operation.",,,,,"Located 90 miles east of Phoenix, near Miami (pop 1,532, 2023) and six miles west of the city of Globe (pop 7,249, 2020), Arizona. ",,,,,,,,,,,,"The Miami smelter processes copper concentrate primarily from the developer's Arizona copper mines. In addition, because sulphuric acid is a by-product of smelting concentrates, the Miami smelter is a significant source of sulphuric acid for the developer's North America leaching operations.",,,,,,,,,,,,,,,,,
Michigan Nickel-Copper Properties,,,,"New drilling, but two miles from current Eagle mine in Michigan.","The developer sought a lease from the Michigan Department of Natural Resources (DNR) to drill on more than 23,000 public acres in Baraga, Houghton, Iron and Marquette counties.  MDNR granted the lease in 2024. In October 2024 the developer announced discovery of new nickel-copper reserves at Boulderdash target.  ",,,,,"Located in the Upper Peninsula of Michigan, within 1.7 miles of the high-grade Eagle Nickel Mine — the only active nickel mine in the USA today — and only 0.4 miles from the Humboldt Mill (processing); The mine is located in Western Marquette County, Upper Peninsula, Michigan; closest town, 15 miles away, is Big Bay (pop 257, 2020); Marquette (pop 20,629, 2020) is 33 miles away. ",,,,,,"UPX is subsidiary of Sweetwater Royalties, see Note on change in ownership. ",,"Talon has entered into an option agreement with UPX to acquire up to an 80% ownership interest in the Michigan nickel properties. Under the agreement terms, Talon has agreed to a minimum spending obligation of up to $5 million in exploration expenditures or drilling of at least 7,500 meters.",,,"Nearby in Mercer County, North Dakota. ",,,,"In September 2023, the Department of Defense awarded Talon $20.6 million in grant funding from the Defense Production Act to explore and discover more high-grade nickel mineralization in Michigan and Minnesota. The Department of Defense also agreed to provide a grant of $20.4 million to help support exploration and the feasibility study.  In 2022 the U.S. Department of Energy awarded Talon $114 million to develop a nickel ore processing plant in Mercer County, North Dakota.",,,,,,"The developer acquired rights to explore for nickel on 400,000 private acres in the Upper Peninsula.  The developer has also requested a lease to drill on nearby public land. Michigan Department of Natural Resources granted 23,000 acres of mineral leases. ",,,,,,,,
Mission Complex,,,,,In 2024 the developer commissioned an analysis of options for a new tailings disposal area.  ,,,,,"Located north of the Mexican border, 10 miles from Sahuarita (35,638, 2022), 15 miles south of Tucson, Arizona; adjacent to the Twin Buttes mine and the Sierrita Mine. The mine is named for the nearby Mission San Xavier del Bac, an impressive and historic Franciscan mission dating back to the late 17th century.","Comprised of the Mission, Eisenhower, Pima, Mineral Hill and South San Xavier properties, as well as the neighboring North San Xavier mine.       ",,,,,,,,,,,"The Mission complex comprises open pit mining of the Mission, Eisenhower, Pima, Mineral Hill, North San Xavier and South San Xavier properties. The complex also includes two concentrator facilities, the Mission Mill (also known as the North Mill) and the South Mill. Underground mining stopped in 2003. The South mill was placed on ‘care and maintenance' in 2002 and re-opened in 2007. Control of dust emissions is a key operating priority with residential build up close to the mine-site.",,,,,,,,,,,," The developer and its unions have experienced a protracted labor dispute for several years. In 2024 the National Labor Relations Board was still prosecuting its 2022 case of unfair labor practices against Asarco in an ongoing trial before an administrative law judge in Phoenix. The unions also are pursuing more recent NLRB charges over Asarco’s allegedly unlawful withdrawal of union recognition at the Mission Mine in Sahuarita and the Silver Bell Mine near Marana. The NLRB has declined the unions’ request to hear those allegations as part of the larger pending case, but the agency has issued a complaint on those charges and plans to investigate and hear them separately. ",,,,,
Moonlight-Superior Copper,,,,Historical production of 161 million pounds of copper at 2.2% grade from 1915 to 1930; Placer-Amex owned site from 1962-1994.,Developer is now preparing to initiate an expansion drill program to include the higher-grade Superior and/or Engels deposits near the Moonlight deposit; initial version of PEA completed in 2018 under prior owner covered only Moonlight deposit. ,"Vesting Rights Issue -- Developer has requested vesting rights from the Plumas County Planning Department, which would allow developer to proceed with some permits and without an extensive California Environmental Quality Act analysis (request has led to community debates in associated public comment period).  Even if vesting is granted, a reclamation plan and adequate financial assurance for new mining must be approved by the County with input from the State.  The Plumas County Board of Supervisors adopted its first zoning ordinance on July 8, 1958, which has been identified as the date of vesting in the US Copper filing. Engels has been host to a range of different mining and forest activities over the years, before and after 1958.  In April 2024 the developer withdrew its request for vesting rights after County legal consultants concluded the case was not firmly established. The developer must strengthen the case or go through normal County permit procedures and California Environmental Quality Analysis.",,,,"Located 11 miles northeast of Greenville (pop 1,026, 2022, 75% of buildings destroyed in 2021 fire) in northeastern California near the Nevada line (100 miles northwest of Reno, Nevada).  ",,,"US Copper Corporation (Canada), since 2013 (previously several junior Canadian firms).",,,,,Placer-Amex was previous owner ,,17 years (Moonlight only).,,,,,,,,,,,Private (owned by California-Engles Mining Company which has leased the land for mining for several decades).  Developer acquired 132 unpatented claims and a lease for the 36 patents covering the Superior and Engels mines.  Developer controls 13 square miles of land.  Might eventually require use of adjacent Forest Service land.  ,,,,,,,,
Morenci,,,,Operational since the 1880s,"The Morenci mine is by far the #1 copper-producing mine in the U.S. According to one tally, it is the 7th largest copper-producing mine in the world; In June 2024 the CEO of Morenci stated her intention to aggressively increase production due to the heightened global demand for copper.  ",,,,,"Located 50 miles north of Safford (pop 10,271, 2020) in southeast Arizona.  ",,,"Freeport McMoRan (72%) has majority- Sumitomo (15%), SMM Morenci (13%).",,,,,,,,,"Processing on site, with plans to increase from 90,000 tonnes to 130,000 tonnes by 2024-2036.",,,"In March 2024 Freeport-McMoRan was selected to receive $80 million through a cooperative agreement with the U.S. Department of Energy for a project to use geothermal energy to heat leaching stockpiles in Morenci and Safford and integrate battery energy storage and microgrid operations to improve electrical reliability in Morenci. By using geothermal energy, the project aims to generate clean, industrial-scale heat to enable the recovery over time of billions of pounds of residual copper through the company’s Leach to the Last Drop initiative from already mined material previously considered unrecoverable. The project could increase copper recovery by 25 million pounds or more annually, depending on the geothermal resources.",,,,,,,,,,,,,,
Mountain Pass,,,,,The developer is implementing an expansion plan at Mountain Pass that led to a record level of output in early 2024. ,,,,,"Located in the Mojave Desert in southeastern California. Accessed through the Bailey Road exit from the Interstate 15; 9 miles from Nevada line and 60 miles southwest of Las Vegas and 30 miles from Baker (pop 442, 2020), California. ",,,,"The developer, which held unsuccessful merger talks this year with rival Lynas Rare Earths, has struggled in recent months (2024) with falling prices and stiff competition from Chinese rivals.",,,,"Mine purchased in 2017 from Molycorp, who in turn purchased the mine in 2007 from Chevron Corp.","15% of global demand, 38,500mt of rare earths in concentrate.",,"On site. Cost savings, as become only combined mine-processing facility in North America. China dominates global processing. MP Materials is investing $700 million to develop rare-earth processing capabilities in the U.S., including separating NdPr oxide at Mountain Pass and establishing a facility in Fort Worth, Texas to produce alloys and magnets for EVs; aiming to produce finished magnets by 2025.",,,,"$10 Million in 2020 to reopen after bankruptcy, later $35 million for processing facility on site. $58.5 million tax-credit allocation for construction of manufacturing facility. Section 48C Advanced Energy Project. The most recent award went to Lynas Corp for a new commercial-scale heavy rare-earth oxide production facility on the Gulf coast of Texas; Mountain Pass was seen as a possible supplier of some mined material.  ",,,,,"GM deal 2021, long term customer.",,,,,,,,,
Nikolai,,,,,"The Nikolai Project is comprised of two blocks of claims – Eureka and Canwell – that each host compelling nickel targets.  The developer’s 2023 drilling program explored Eureka while the 2024 program explored Canwell, which is 13 miles northeast of Eureka.  Both programs uncovered massive deposits of nickel, copper, and cobalt.  ",,,,,"Located 30 miles from village of Paxson (pop 26, 2020), 50 miles south of the City of Delta Junction (pop 958, 2010) on the southern flank of Alaska Range, 125 miles southeast of Fairbanks, Southeast Fairbanks Census area, Alaska. ",,,"Alaska Energy Metals Corporation (AEMC), USA (100% owner), company renamed early 2013, previously Millrock Resources Inc.",,,,,"Nico sold to Vale in the 1990s, which sold to junior miner Pure Nickel Inc (extensive drilling from 2007-2014), which sold data and rights to Millrock Resources, later renamed AEMC.",,,,,,,,,,,,,"The Eureka claim block consists of 104 State of Alaska mining claims (6734 hectares) and is 100% owned by the developer.  The Canwell claim block consists of 42 State of Alaska mining claims (2720 hectares), with an option to purchase 100% interest in the claims from the underlying owner. In total, the project covers 94.54 km2 (9454 hectares).",,,,,,,,
North Big Smoky,,Lithium clays and brine exploration.,,,2023-2024 included electromagnetic sounding and soil sampling and drilling in the Carvers area; followed by electromagnetic sounding in the Austin area.,,,,,"9 miles north of the village of Carvers; 45 miles north of town of  Tonopah (pop 2,478, 2010); Big Smoky Valley, Nye County, Nevada, 143 miles east of Reno.",,,"Morella Corporation (Australia) has a 60% earn-in interest through cash, stock and exploration and development progress.",,,,,,,,,,,,,,,,,," 3,400 acres (1,375 hectares); Claims divided into Carvers and Austin areas.",,,,,,,,
NorthMet,,,,,Minnesota Department of Natural Resources delayed permit decision until August 2025; Developer is working on new studies to enhance the sustainability of the project.,The Army Corps of Engineers – with support from Biden EPA – revoked a critical federal water-quality permit due to concerns that waste from mine construction might endanger the water quality of a nearby tribal community.,,,,"Located in northeast Minnesota, about six miles south of Babbitt (pop 1,397, 2020) and one mile south of the existing Northshore iron-ore mine. Processing of mined ore would take place at the former LTV taconite plant near Hoyt Lakes (pop 2,020, 2020). Situated within the Partridge River intrusion along the northern margin of Duluth Complex, a geological formation near the Mesabi Iron Range.",,,,,,,,"Project formerly called PolyMet. The ownership has been changed to a 50-50 joint venture of Polymet Mining (USA) and Teck Resources (Canada). The joint venture controls both the NewRange Copper Nickel deposit and Teck’s Mesaba deposit a few miles to the east.; In February 2023 the Swiss multinational Glencore became a 100% owner of the Polymet side of the joint venture.; Teck’s largest shareholder is the China Investment Corp., the sovereign wealth fund of the Beijing government, with a 10% stake.",,,,,,,,,,,,,,USFS Superior National Forest Service,,"After the developer obtained all necessary permits for the project,  a coalition of environmental and tribal groups initiated numerous lawsuits at different times and in different venues.  Those lawsuits challenged the validity of the land swap that allowed the developer to acquire crucial land for the project, the general permit to construct and operate the mine, the water quality permit, the air permit, and the dam safety permit related to waste management at the mine.  The plaintiffs had the most success with their challenges to the general permit to operate and construct the mine and their challenges to the water quality permit.  Both permits were ultimately overturned by the Minnesota Supreme Court.",,,,,
Palmer Copper-Zinc,,,,,"The 2024 drilling program was designed to continue testing the extent of the high-grade copper mineralization of the Palmer Deposit South Wall Zone 1 and Zone 2-3 and initial testing of the nearby North Wall Alteration Zone. Infill and geotechnical drilling over the last several years has been successful in increasing confidence in the known deposits; significant increases in the in-situ copper estimate, in addition to an overall increase in contained tonnes for the Project. More than USD$116M has been spent to-date at Palmer, with NI-43-101 mineral resources defined at the Palmer and AG deposits",,,,,"Southeast Alaska, 37 miles from the deep sea port at Haines (pop 1,657, 2020), Alaska.",,,,,,,,"Pursuant to the terms of the Purchase Agreement executed November 15th, 2024, Constantine North Inc., a wholly-owned subsidiary of American Pacific, has acquired Dowa's interest in Constantine Mining LLC (the ""Dowa Interest"") and Dowa has paid American Pacific USD$10,000,000 in exchange for providing an affiliate of Dowa with an option to acquire up to 50% of the zinc concentrate produced for the initial year of production and each subsequent year of production at the Project and the provision of certain indemnities in the Purchase Agreement. With the close of the acquisition of the Dowa Interest, American Pacific has a consolidated 100%-interest in the Project. ",,,,,,,,,,,,,,,,,,,,,
Panamint Playa,,,,,"Since at least 2019 indigenous groups and environmentalists have clashed with the developer over requests that BLM allow exploratory drilling at Panamint Valley.  In February 2024 the developer again submitted to BLM a plan of operations, a necessary step toward approval of an exploratory drilling program; despite some opposition, BLM approved the proposal in August 2024.",,,,,"Located immediately west of Death Valley National Park in California near the Nevada border; nearest towns are Pahrump (pop 44,738, 2020), Nevada, Searles Valley (pop 1,565, 2020), California, and Darwin (pop 26, 2020), California.",,,,,,"Founded in 2010; current project portfolio includes copper, gold, and lithium assets in the US, Kazakhstan, and Mongolia ",,,,,,,,,,,,,,,,,,,,,,,
Panther,,,,Has undergone small-scale past production at the historic Sweet Repose Mine.,"Koba is planning additional geochemical sampling, mapping and geophysical surveying to help delineate targets for drilling.; The project was actively explored between 2017 and 2018, when ePower Metals Inc (now Prime Mining Corp) collected a total of 1,534 soils samples, 53 surface rock samples and 29 underground samples; Koba Resources reports in its FY 2024 Annual Report that no significant work was done at its cobalt projects in FY 2024.",,,,,"Located 19 miles west of the town of Salmon (pop 3,295, 2023), central Idaho; 2 miles east of Jervois’ Idaho Cobalt Operation.",Blackbird District (2 miles to the northeast of the historic Blackbird Cobalt Mine).,,Koba Resources Limited acquired the site in November of 2021. ,,,,,Koba Resources was created when New World Resources (ASX: NWC) decided to spin-out its cobalt-copper assets.,,,,,,,,,,,,,870 hectare of public land; part of Salmon National Forest (USFS).  ,,,,,,,,
Paradox Lithium,,,,,"In 2024 the developer’s request that the State of Utah approve its plan for exploration ran into concerns from an unusually diverse array of players: a coalition of environmental groups, local nonprofits, some local government agencies, and three federal agencies: the Bureau of Land Management, the National Park Service, and the Bureau of Reclamation.  The state approved the developer’s plan.  ","Federal agencies have raised concerns about the developer's plans to access groundwater near the Green River, which connects to the Colorado River.  Utah regulators will make the final decisions about water permits. Update: in June of 2024, Utah state officials suspended a key water permit for the Paradox Lithium project following concerns from conservation advocates about potential contamination and water overuse in the Green River. September 2024: the state doubled down on its original decision to approve, while requiring that the developer demonstrate that the process is truly non-consumptive; developer will be subject to fines if water is consumed. ",,,,"Located in Paradox Basin (asymmetric foreland basin located mostly in southeast Utah and southwest Colorado), near Green River (pop 847, 2020) in southern Utah",,,"In June 2024 the developer announced collaboration with Koch Technology Solutions (KTS), a Koch Engineered Solutions (KES) company, for the commissioning of its Li-Pro™ process pilot unit for lithium extraction at the developer's Green River Lithium Project. The pilot will be jointly funded by the developer and an investment from KTS through a convertible note as the companies work to develop a further commercial relationship.",,,,,,,,,"Potentially developing a processing plan onsite, now in engineering stages.",,,,,,,,"In 2024 the developer completed negotiations with LG Energy Solution and executed its first binding offtake term sheet to supply battery-grade lithium carbonate. The agreement calls for the developer to supply up to 4,000 dry metric tonnes per year of battery-grade lithium carbonate. The associated volumes represent approximately 40 percent of the Project’s start-up production capacity of 10,000 tonnes per year.",,,,"In October 2024, a coalition of conservationists, businesses, and residents sued the Utah Division of Water Rights in the State’s 7th District Court in Moab to overturn the Division’s decision to approve water rights for lithium extraction.  The leader of the lawsuit is Great Basin Water Network.  The litigation was not resolved as of December 2024.",,,,,
